tweet_id,favorites,retweets
835297930240217089,16802,3079
835264098648616962,7891,1737
835246439529840640,2145,73
835172783151792128,26729,5889
835152434251116546,22925,3092
834931633769889797,11060,1687
834786237630337024,21740,5615
834574053763584002,13969,2599
834477809192075265,0,10937
834458053273591808,9840,1721
834209720923721728,21085,4878
834167344700198914,16145,3744
834089966724603904,10270,2179
834086379323871233,13355,2258
833863086058651648,13694,2458
833826103416520705,18426,3855
833732339549220864,0,221
833722901757046785,21226,3303
833479644947025920,15195,2101
833124694597443584,20623,4955
832998151111966721,13594,2266
832769181346996225,0,39
832757312314028032,17238,3713
832682457690300417,12154,2998
832645525019123713,3000,540
832636094638288896,16224,2864
832397543355072512,12220,2273
832369877331693569,17585,3279
832273440279240704,11593,2398
832215909146226688,0,6382
832215726631055365,0,9616
832088576586297345,64,2
832040443403784192,0,9902
832032802820481025,18299,4796
831939777352105988,24566,6301
831926988323639298,349,34
831911600680497154,28323,6694
831670449226514432,10706,1865
831650051525054464,7342,1991
831552930092285952,9207,2369
831322785565769729,9471,1590
831315979191906304,6699,1151
831309418084069378,12035,2522
831262627380748289,12196,2104
830956169170665475,8166,1537
830583320585068544,68576,17283
830173239259324417,0,5882
830097400375152640,10094,3046
829878982036299777,0,5187
829861396166877184,12539,2013
829501995190984704,32565,10937
829449946868879360,10745,2090
829141528400556032,25095,7591
829011960981237760,54476,16797
828801551087042563,0,3515
828770345708580865,26250,6046
828708714936930305,37554,11561
828650029636317184,9772,1397
828409743546925057,6503,1196
828408677031882754,7889,1329
828381636999917570,12961,2283
828376505180889089,7587,1104
828372645993398273,12895,3034
828361771580813312,2260,176
828046555563323392,12085,2951
828011680017821696,10634,2215
827933404142436356,20665,5413
827653905312006145,15898,3098
827600520311402496,7623,971
827324948884643840,16280,3153
827199976799354881,10863,2310
826958653328592898,22168,5187
826848821049180160,37440,10517
826615380357632002,0,4105
826598799820865537,5257,263
826598365270007810,10334,2423
826476773533745153,18950,4347
826240494070030336,13653,2690
826204788643753985,5012,960
826115272272650244,16090,3235
825876512159186944,10745,1937
825829644528148480,13093,2572
825535076884762624,53751,17877
825147591692263424,18848,4693
825120256414846976,0,1315
825026590719483904,6517,1315
824796380199809024,0,5680
824775126675836928,15371,3647
824663926340194305,10392,1800
824325613288833024,12162,10853
824297048279236611,15530,4000
824025158776213504,4953,615
823939628516474880,10944,2802
823719002937630720,0,11602
823699002998870016,14374,2608
823581115634085888,13430,2724
823333489516937216,719,26
823322678127919110,16221,4173
823269594223824897,0,10255
822975315408461824,17827,3568
822872901745569793,136069,44948
822859134160621569,13674,2380
822647212903690241,0,6643
822610361945911296,15251,3056
822489057087389700,18746,6643
822462944365645825,29096,14956
822244816520155136,36130,10255
822163064745328640,0,4975
821886076407029760,11695,2406
821813639212650496,0,3476
821765923262631936,8692,1715
821522889702862852,8278,1834
821421320206483457,0,5807
821407182352777218,12175,4506
821153421864615936,263,10
821149554670182400,8961,2079
821107785811234820,9900,2217
821044531881721856,13060,2367
820837357901512704,0,7000
820749716845686786,32581,10277
820690176645140481,12616,3358
820494788566847489,0,587
820446719150292993,0,2670
820314633777061888,3452,587
820078625395449857,20469,6514
820013781606658049,0,1230
819952236453363712,5508,1230
819924195358416896,13326,5054
819711362133872643,13885,3236
819588359383371776,9944,2058
819347104292290561,7461,1248
819238181065359361,2359,420
819227688460238848,23869,7000
819015337530290176,0,38295
819015331746349057,0,19681
819006400881917954,46783,19681
819004803107983360,89868,38295
818646164899774465,0,21814
818627210458333184,23161,7838
